PassengerId,Survived,Sex,Age,Family,isMother,Pclass_1,Pclass_2,Embarked_1,Embarked_2,Fare_Category_1,Fare_Category_2
104,0,0,33,0,0,0,0,0,1,1,0
105,0,0,37,2,0,0,0,0,1,1,0
106,0,0,28,0,0,0,0,0,1,1,0
107,1,1,21,0,0,0,0,0,1,1,0
108,1,0,28,0,0,0,0,0,1,1,0
109,0,0,38,0,0,0,0,0,1,1,0
110,1,1,23,1,0,0,0,0,0,0,1
111,0,0,47,0,0,1,0,0,1,0,0
112,0,1,14,1,0,0,0,1,0,1,0
113,0,0,22,0,0,0,0,0,1,1,0
114,0,1,20,1,0,0,0,0,1,1,0
115,0,1,17,0,0,0,0,1,0,1,0
116,0,0,21,0,0,0,0,0,1,1,0
117,0,0,70,0,0,0,0,0,0,1,0
118,0,0,29,1,0,0,1,0,1,1,0
119,0,0,24,1,0,1,0,1,0,0,0
120,0,1,2,6,0,0,0,0,1,0,1
121,0,0,21,2,0,0,1,0,1,0,0
122,0,0,28,0,0,0,0,0,1,1,0
123,0,0,32,1,0,0,1,1,0,0,1
124,1,1,32,0,0,0,1,0,1,1,0
125,0,0,54,1,0,1,0,0,1,0,0
126,1,0,12,1,0,0,0,1,0,1,0
127,0,0,28,0,0,0,0,0,0,1,0
128,1,0,24,0,0,0,0,0,1,1,0
129,1,1,22,2,0,0,0,1,0,0,1
130,0,0,45,0,0,0,0,0,1,1,0
131,0,0,33,0,0,0,0,1,0,1,0
132,0,0,20,0,0,0,0,0,1,1,0
133,0,1,47,1,0,0,0,0,1,1,0
134,1,1,29,1,0,0,1,0,1,0,1
135,0,0,25,0,0,0,1,0,1,1,0
136,0,0,23,0,0,0,1,1,0,1,0
137,1,1,19,2,0,1,0,0,1,0,1
138,0,0,37,1,0,1,0,0,1,0,0
139,0,0,16,0,0,0,0,0,1,1,0
140,0,0,24,0,0,1,0,1,0,0,0
141,0,1,22,2,1,0,0,1,0,1,0
142,1,1,22,0,0,0,0,0,1,1,0
143,1,1,24,1,0,0,0,0,1,1,0
144,0,0,19,0,0,0,0,0,0,1,0
145,0,0,18,0,0,0,1,0,1,1,0
146,0,0,19,2,0,0,1,0,1,0,1
147,1,0,27,0,0,0,0,0,1,1,0
148,0,1,9,4,0,0,0,0,1,0,1
149,0,0,36,2,0,0,1,0,1,0,1
150,0,0,42,0,0,0,1,0,1,1,0
151,0,0,51,0,0,0,1,0,1,1,0
152,1,1,22,1,0,1,0,0,1,0,0
153,0,0,56,0,0,0,0,0,1,1,0
154,0,0,40,2,0,0,0,0,1,1,0
155,0,0,28,0,0,0,0,0,1,1,0
156,0,0,51,1,0,1,0,1,0,0,0
157,1,1,16,0,0,0,0,0,0,1,0
158,0,0,30,0,0,0,0,0,1,1,0
159,0,0,28,0,0,0,0,0,1,1,0
161,0,0,44,1,0,0,0,0,1,1,0
162,1,1,40,0,0,0,1,0,1,1,0
163,0,0,26,0,0,0,0,0,1,1,0
164,0,0,17,0,0,0,0,0,1,1,0
165,0,0,1,5,0,0,0,0,1,0,1
166,1,0,9,2,0,0,0,0,1,1,0
167,1,1,37,1,0,1,0,0,1,0,0
168,0,1,45,5,1,0,0,0,1,0,1
169,0,0,41,0,0,1,0,0,1,0,1
170,0,0,28,0,0,0,0,0,1,0,0
171,0,0,61,0,0,1,0,0,1,0,1
172,0,0,4,5,0,0,0,0,0,0,1
173,1,1,1,2,0,0,0,0,1,1,0
174,0,0,21,0,0,0,0,0,1,1,0
175,0,0,56,0,0,1,0,1,0,0,1
176,0,0,18,2,0,0,0,0,1,1,0
177,0,0,17,4,0,0,0,0,1,0,1
178,0,1,50,0,0,1,0,1,0,0,1
179,0,0,30,0,0,0,1,0,1,1,0
180,0,0,36,0,0,0,0,0,1,0,0
182,0,0,34,0,0,0,1,1,0,1,0
183,0,0,9,6,0,0,0,0,1,0,1
184,1,0,1,3,0,0,1,0,1,0,1
185,1,1,4,2,0,0,0,0,1,0,1
186,0,0,41,0,0,1,0,0,1,0,0
187,1,1,23,1,0,0,0,0,0,1,0
188,1,0,45,0,0,1,0,0,1,0,1
189,0,0,40,2,0,0,0,0,0,1,0
190,0,0,36,0,0,0,0,0,1,1,0
191,1,1,32,0,0,0,1,0,1,1,0
192,0,0,19,0,0,0,1,0,1,1,0
193,1,1,19,1,0,0,0,0,1,1,0
194,1,0,3,2,0,0,1,0,1,0,1
195,1,1,44,0,0,1,0,1,0,0,1
196,1,1,58,0,0,1,0,1,0,0,0
197,0,0,28,0,0,0,0,0,0,1,0
198,0,0,42,1,0,0,0,0,1,1,0
199,1,1,28,0,0,0,0,0,0,1,0
200,0,1,24,0,0,0,1,0,1,1,0
201,0,0,28,0,0,0,0,0,1,1,0
203,0,0,34,0,0,0,0,0,1,1,0
204,0,0,46,0,0,0,0,1,0,1,0
205,1,0,18,0,0,0,0,0,1,1,0
206,0,1,2,1,0,0,0,0,1,1,0
207,0,0,32,1,0,0,0,0,1,1,0
208,1,0,26,0,0,0,0,1,0,1,0
209,1,1,16,0,0,0,0,0,0,1,0
210,1,0,40,0,0,1,0,1,0,0,1
211,0,0,24,0,0,0,0,0,1,1,0
212,1,1,35,0,0,0,1,0,1,1,0
213,0,0,22,0,0,0,0,0,1,1,0
214,0,0,30,0,0,0,1,0,1,1,0
215,0,0,23,1,0,0,0,0,0,1,0
216,1,1,31,1,0,1,0,1,0,0,0
217,1,1,27,0,0,0,0,0,1,1,0
218,0,0,42,1,0,0,1,0,1,0,1
219,1,1,32,0,0,1,0,1,0,0,0
220,0,0,30,0,0,0,1,0,1,1,0
221,1,0,16,0,0,0,0,0,1,1,0
222,0,0,27,0,0,0,1,0,1,1,0
223,0,0,51,0,0,0,0,0,1,1,0
224,0,0,28,0,0,0,0,0,1,1,0
225,1,0,38,1,0,1,0,0,1,0,0
226,0,0,22,0,0,0,0,0,1,1,0
227,1,0,19,0,0,0,1,0,1,1,0
228,0,0,20,0,0,0,0,0,1,1,0
229,0,0,18,0,0,0,1,0,1,1,0
230,0,1,17,4,0,0,0,0,1,0,1
231,1,1,35,1,0,1,0,0,1,0,0
232,0,0,29,0,0,0,0,0,1,1,0
233,0,0,59,0,0,0,1,0,1,1,0
234,1,1,5,6,0,0,0,0,1,0,1
235,0,0,24,0,0,0,1,0,1,1,0
236,0,1,28,0,0,0,0,0,1,1,0
237,0,0,44,1,0,0,1,0,1,0,1
238,1,1,8,2,0,0,1,0,1,0,1
239,0,0,19,0,0,0,1,0,1,1,0
240,0,0,33,0,0,0,1,0,1,1,0
241,0,1,23,1,0,0,0,1,0,1,0
242,1,1,23,1,0,0,0,0,0,1,0
243,0,0,29,0,0,0,1,0,1,1,0
244,0,0,22,0,0,0,0,0,1,1,0
245,0,0,30,0,0,0,0,1,0,1,0
246,0,0,44,2,0,1,0,0,0,0,0
247,0,1,25,0,0,0,0,0,1,1,0
248,1,1,24,2,1,0,1,0,1,1,0
249,1,0,37,2,0,1,0,0,1,0,0
250,0,0,54,1,0,0,1,0,1,0,1
251,0,0,28,0,0,0,0,0,1,1,0
252,0,1,29,2,0,0,0,0,1,1,0
253,0,0,62,0,0,1,0,0,1,0,1
254,0,0,30,1,0,0,0,0,1,1,0
255,0,1,41,2,1,0,0,0,1,1,0
256,1,1,29,2,1,0,0,1,0,1,0
257,1,1,41,0,0,1,0,1,0,0,0
258,1,1,30,0,0,1,0,0,1,0,0
259,1,1,35,0,0,1,0,1,0,0,0
260,1,1,50,1,0,0,1,0,1,0,1
261,0,0,28,0,0,0,0,0,0,1,0
262,1,0,3,6,0,0,0,0,1,0,1
263,0,0,52,2,0,1,0,0,1,0,0
264,0,0,40,0,0,1,0,0,1,0,0
265,0,1,28,0,0,0,0,0,0,1,0
266,0,0,36,0,0,0,1,0,1,1,0
267,0,0,16,5,0,0,0,0,1,0,1
268,1,0,25,1,0,0,0,0,1,1,0
269,1,1,58,1,0,1,0,0,1,0,0
270,1,1,35,0,0,1,0,0,1,0,0
271,0,0,41,0,0,1,0,0,1,0,1
272,1,0,25,0,0,0,0,0,1,0,0
273,1,1,41,1,0,0,1,0,1,1,0
274,0,0,37,1,0,1,0,1,0,0,1
275,1,1,28,0,0,0,0,0,0,1,0
276,1,1,63,1,0,1,0,0,1,0,0
277,0,1,45,0,0,0,0,0,1,1,0
278,0,0,34,0,0,0,1,0,1,0,0
279,0,0,7,5,0,0,0,0,0,0,1
280,1,1,35,2,0,0,0,0,1,1,0
281,0,0,65,0,0,0,0,0,0,1,0
282,0,0,28,0,0,0,0,0,1,1,0
283,0,0,16,0,0,0,0,0,1,1,0
284,1,0,19,0,0,0,0,0,1,1,0
285,0,0,41,0,0,1,0,0,1,0,1
286,0,0,33,0,0,0,0,1,0,1,0
287,1,0,30,0,0,0,0,0,1,1,0
288,0,0,22,0,0,0,0,0,1,1,0
289,1,0,42,0,0,0,1,0,1,1,0
290,1,1,22,0,0,0,0,0,0,1,0
291,1,1,26,0,0,1,0,0,1,0,0
292,1,1,19,1,0,1,0,1,0,0,0
293,0,0,36,0,0,0,1,1,0,1,0
294,0,1,24,0,0,0,0,0,1,1,0
295,0,0,24,0,0,0,0,0,1,1,0
296,0,0,41,0,0,1,0,1,0,0,1
297,0,0,24,0,0,0,0,1,0,1,0
298,0,1,2,3,0,1,0,0,1,0,0
299,1,0,41,0,0,1,0,0,1,0,1
300,1,1,50,1,0,1,0,1,0,0,0
301,1,1,28,0,0,0,0,0,0,1,0
302,1,0,22,2,0,0,0,0,0,0,1
303,0,0,19,0,0,0,0,0,1,0,0
304,1,1,34,0,0,0,1,0,0,1,0
305,0,0,28,0,0,0,0,0,1,1,0
306,1,0,1,3,0,1,0,0,1,0,0
307,1,1,41,0,0,1,0,1,0,0,0
308,1,1,17,1,0,1,0,1,0,0,0
309,0,0,30,1,0,0,1,1,0,0,1
310,1,1,30,0,0,1,0,1,0,0,0
311,1,1,24,0,0,1,0,1,0,0,0
312,1,1,18,4,0,1,0,1,0,0,0
313,0,1,26,2,0,0,1,0,1,0,1
314,0,0,28,0,0,0,0,0,1,1,0
315,0,0,43,2,0,0,1,0,1,0,1
316,1,1,26,0,0,0,0,0,1,1,0
317,1,1,24,1,0,0,1,0,1,0,1
318,0,0,54,0,0,0,1,0,1,1,0
319,1,1,31,2,0,1,0,0,1,0,0
320,1,1,40,2,0,1,0,1,0,0,0
321,0,0,22,0,0,0,0,0,1,1,0
322,0,0,27,0,0,0,0,0,1,1,0
323,1,1,30,0,0,0,1,0,0,1,0
324,1,1,22,2,0,0,1,0,1,0,1
326,1,1,36,0,0,1,0,1,0,0,0
327,0,0,61,0,0,0,0,0,1,1,0
328,1,1,36,0,0,0,1,0,1,1,0
329,1,1,31,2,0,0,0,0,1,1,0
330,1,1,16,1,0,1,0,1,0,0,0
331,1,1,22,2,0,0,0,0,0,0,1
332,0,0,46,0,0,1,0,0,1,0,1
333,0,0,38,1,0,1,0,0,1,0,0
334,0,0,16,2,0,0,0,0,1,1,0
335,1,1,37,1,0,1,0,0,1,0,0
336,0,0,28,0,0,0,0,0,1,1,0
337,0,0,29,1,0,1,0,0,1,0,0
338,1,1,41,0,0,1,0,1,0,0,0
339,1,0,45,0,0,0,0,0,1,1,0
340,0,0,45,0,0,1,0,0,1,0,1
341,1,0,2,2,0,0,1,0,1,0,1
342,1,1,24,5,0,1,0,0,1,0,0
343,0,0,28,0,0,0,1,0,1,1,0
344,0,0,25,0,0,0,1,0,1,1,0
345,0,0,36,0,0,0,1,0,1,1,0
346,1,1,24,0,0,0,1,0,1,1,0
347,1,1,40,0,0,0,1,0,1,1,0
348,1,1,23,1,0,0,0,0,1,1,0
349,1,0,3,2,0,0,0,0,1,1,0
350,0,0,42,0,0,0,0,0,1,1,0
351,0,0,23,0,0,0,0,0,1,1,0
352,0,0,41,0,0,1,0,0,1,0,1
353,0,0,15,2,0,0,0,1,0,1,0
354,0,0,25,1,0,0,0,0,1,1,0
355,0,0,28,0,0,0,0,1,0,1,0
356,0,0,28,0,0,0,0,0,1,1,0
357,1,1,22,1,0,1,0,0,1,0,0
358,0,1,38,0,0,0,1,0,1,1,0
359,1,1,28,0,0,0,0,0,0,1,0
360,1,1,28,0,0,0,0,0,0,1,0
361,0,0,40,5,0,0,0,0,1,0,1
362,0,0,29,1,0,0,1,1,0,0,1
363,0,1,45,1,0,0,0,1,0,1,0
364,0,0,35,0,0,0,0,0,1,1,0
365,0,0,23,1,0,0,0,0,0,1,0
366,0,0,30,0,0,0,0,0,1,1,0
367,1,1,60,1,0,1,0,1,0,0,0
368,1,1,28,0,0,0,0,1,0,1,0
369,1,1,28,0,0,0,0,0,0,1,0
370,1,1,24,0,0,1,0,1,0,0,0
371,1,0,25,1,0,1,0,1,0,0,0
372,0,0,18,1,0,0,0,0,1,1,0
373,0,0,19,0,0,0,0,0,1,1,0
374,0,0,22,0,0,1,0,1,0,0,0
375,0,1,3,4,0,0,0,0,1,1,0
376,1,1,37,1,0,1,0,1,0,0,0
377,1,1,22,0,0,0,0,0,1,1,0
378,0,0,27,2,0,1,0,1,0,0,0
379,0,0,20,0,0,0,0,1,0,1,0
380,0,0,19,0,0,0,0,0,1,1,0
381,1,1,42,0,0,1,0,1,0,0,0
382,1,1,1,2,0,0,0,1,0,1,0
383,0,0,32,0,0,0,0,0,1,1,0
384,1,1,35,1,0,1,0,0,1,0,0
385,0,0,28,0,0,0,0,0,1,1,0
386,0,0,18,0,0,0,1,0,1,0,0
387,0,0,1,7,0,0,0,0,1,0,0
388,1,1,36,0,0,0,1,0,1,1,0
389,0,0,28,0,0,0,0,0,0,1,0
390,1,1,17,0,0,0,1,1,0,1,0
391,1,0,36,3,0,1,0,0,1,0,0
392,1,0,21,0,0,0,0,0,1,1,0
393,0,0,28,2,0,0,0,0,1,1,0
394,1,1,23,1,0,1,0,1,0,0,0
395,1,1,24,2,1,0,0,0,1,1,0
396,0,0,22,0,0,0,0,0,1,1,0
397,0,1,31,0,0,0,0,0,1,1,0
398,0,0,46,0,0,0,1,0,1,0,1
399,0,0,23,0,0,0,1,0,1,1,0
400,1,1,28,0,0,0,1,0,1,1,0
401,1,0,39,0,0,0,0,0,1,1,0
402,0,0,26,0,0,0,0,0,1,1,0
403,0,1,21,1,0,0,0,0,1,1,0
404,0,0,28,1,0,0,0,0,1,1,0
405,0,1,20,0,0,0,0,0,1,1,0
406,0,0,34,1,0,0,1,0,1,1,0
407,0,0,51,0,0,0,0,0,1,1,0
408,1,0,3,2,0,0,1,0,1,1,0
409,0,0,21,0,0,0,0,0,1,1,0
410,0,1,17,4,0,0,0,0,1,0,1
411,0,0,28,0,0,0,0,0,1,1,0
412,0,0,28,0,0,0,0,0,0,1,0
413,1,1,33,1,0,1,0,0,0,0,0
414,0,0,34,0,0,0,1,0,1,0,0
415,1,0,44,0,0,0,0,0,1,1,0
416,0,1,28,0,0,0,0,0,1,1,0
417,1,1,34,2,0,0,1,0,1,0,1
418,1,1,18,2,0,0,1,0,1,1,0
419,0,0,30,0,0,0,1,0,1,1,0
420,0,1,10,2,0,0,0,0,1,0,1
421,0,0,28,0,0,0,0,1,0,1,0
422,0,0,21,0,0,0,0,0,0,1,0
423,0,0,29,0,0,0,0,0,1,1,0
424,0,1,28,2,0,0,0,0,1,1,0
425,0,0,18,2,0,0,0,0,1,1,0
426,0,0,28,0,0,0,0,0,1,1,0
427,1,1,28,1,0,0,1,0,1,0,1
428,1,1,19,0,0,0,1,0,1,0,1
429,0,0,28,0,0,0,0,0,0,1,0
430,1,0,32,0,0,0,0,0,1,1,0
431,1,0,28,0,0,1,0,0,1,0,1
432,1,1,23,1,0,0,0,0,1,1,0
433,1,1,42,1,0,0,1,0,1,0,1
434,0,0,17,0,0,0,0,0,1,1,0
435,0,0,50,1,0,1,0,0,1,0,0
436,1,1,14,3,0,1,0,0,1,0,0
437,0,1,21,4,0,0,0,0,1,0,1
438,1,1,24,5,1,0,1,0,1,1,0
439,0,0,64,5,0,1,0,0,1,0,0
440,0,0,31,0,0,0,1,0,1,1,0
441,1,1,45,2,0,0,1,0,1,0,1
442,0,0,20,0,0,0,0,0,1,1,0
443,0,0,25,1,0,0,0,0,1,1,0
444,1,1,28,0,0,0,1,0,1,1,0
445,1,0,28,0,0,0,0,0,1,1,0
446,1,0,4,2,0,1,0,0,1,0,0
447,1,1,13,1,0,0,1,0,1,1,0
448,1,0,34,0,0,1,0,0,1,0,1
449,1,1,5,3,0,0,0,1,0,1,0
450,1,0,52,0,0,1,0,0,1,0,1
451,0,0,36,3,0,0,1,0,1,0,1
452,0,0,23,1,0,0,0,0,1,1,0
453,0,0,30,0,0,1,0,1,0,0,1
454,1,0,49,1,0,1,0,1,0,0,0
455,0,0,28,0,0,0,0,0,1,1,0
456,1,0,29,0,0,0,0,1,0,1,0
457,0,0,65,0,0,1,0,0,1,0,1
458,1,1,37,1,0,1,0,0,1,0,0
459,1,1,50,0,0,0,1,0,1,1,0
460,0,0,28,0,0,0,0,0,0,1,0
461,1,0,48,0,0,1,0,0,1,0,1
462,0,0,34,0,0,0,0,0,1,1,0
463,0,0,47,0,0,1,0,0,1,0,1
464,0,0,48,0,0,0,1,0,1,1,0
465,0,0,28,0,0,0,0,0,1,1,0
466,0,0,38,0,0,0,0,0,1,1,0
467,0,0,34,0,0,0,1,0,1,0,0
468,0,0,56,0,0,1,0,0,1,0,1
469,0,0,28,0,0,0,0,0,0,1,0
470,1,1,1,3,0,0,0,1,0,1,0
471,0,0,28,0,0,0,0,0,1,1,0
472,0,0,38,0,0,0,0,0,1,1,0
473,1,1,33,3,1,0,1,0,1,0,1
474,1,1,23,0,0,0,1,1,0,1,0
475,0,1,22,0,0,0,0,0,1,1,0
476,0,0,41,0,0,1,0,0,1,0,0
477,0,0,34,1,0,0,1,0,1,1,0
478,0,0,29,1,0,0,0,0,1,1,0
479,0,0,22,0,0,0,0,0,1,1,0
480,1,1,2,1,0,0,0,0,1,1,0
481,0,0,9,7,0,0,0,0,1,0,0
482,0,0,34,0,0,0,1,0,1,0,0
483,0,0,50,0,0,0,0,0,1,1,0
484,1,1,63,0,0,0,0,0,1,1,0
485,1,0,25,1,0,1,0,1,0,0,0
486,0,1,17,4,0,0,0,0,1,0,1
487,1,1,35,1,0,1,0,0,1,0,0
488,0,0,58,0,0,1,0,1,0,0,1
489,0,0,30,0,0,0,0,0,1,1,0
490,1,0,9,2,0,0,0,0,1,1,0
491,0,0,23,1,0,0,0,0,1,1,0
492,0,0,21,0,0,0,0,0,1,1,0
493,0,0,55,0,0,1,0,0,1,0,1
494,0,0,71,0,0,1,0,1,0,0,0
495,0,0,21,0,0,0,0,0,1,1,0
496,0,0,28,0,0,0,0,1,0,1,0
497,1,1,54,1,0,1,0,1,0,0,0
498,0,0,28,0,0,0,0,0,1,1,0
499,0,1,25,3,1,1,0,0,1,0,0
500,0,0,24,0,0,0,0,0,1,1,0
501,0,0,17,0,0,0,0,0,1,1,0
502,0,1,21,0,0,0,0,0,0,1,0
503,0,1,28,0,0,0,0,0,0,1,0
504,0,1,37,0,0,0,0,0,1,1,0
505,1,1,16,0,0,1,0,0,1,0,0
506,0,0,18,1,0,1,0,1,0,0,0
507,1,1,33,2,1,0,1,0,1,0,1
508,1,0,41,0,0,1,0,0,1,0,1
509,0,0,28,0,0,0,0,0,1,0,1
510,1,0,26,0,0,0,0,0,1,0,0
511,1,0,29,0,0,0,0,0,0,1,0
512,0,0,28,0,0,0,0,0,1,1,0
513,1,0,36,0,0,1,0,0,1,0,1
514,1,1,54,1,0,1,0,1,0,0,0
515,0,0,24,0,0,0,0,0,1,1,0
516,0,0,47,0,0,1,0,0,1,0,1
517,1,1,34,0,0,0,1,0,1,1,0
518,0,0,28,0,0,0,0,0,0,0,1
519,1,1,36,1,0,0,1,0,1,0,1
520,0,0,32,0,0,0,0,0,1,1,0
521,1,1,30,0,0,1,0,0,1,0,0
522,0,0,22,0,0,0,0,0,1,1,0
523,0,0,28,0,0,0,0,1,0,1,0
524,1,1,44,1,0,1,0,1,0,0,0
525,0,0,28,0,0,0,0,1,0,1,0
526,0,0,40,0,0,0,0,0,0,1,0
527,1,1,50,0,0,0,1,0,1,1,0
528,0,0,41,0,0,1,0,0,1,0,0
529,0,0,39,0,0,0,0,0,1,1,0
530,0,0,23,3,0,0,1,0,1,1,0
531,1,1,2,2,0,0,1,0,1,0,1
532,0,0,28,0,0,0,0,1,0,1,0
533,0,0,17,2,0,0,0,1,0,1,0
534,1,1,22,2,1,0,0,1,0,0,1
535,0,1,30,0,0,0,0,0,1,1,0
536,1,1,7,2,0,0,1,0,1,0,1
537,0,0,45,0,0,1,0,0,1,0,1
538,1,1,30,0,0,1,0,1,0,0,0
539,0,0,28,0,0,0,0,0,1,1,0
540,1,1,22,2,0,1,0,1,0,0,0
541,1,1,36,2,0,1,0,0,1,0,0
542,0,1,9,6,0,0,0,0,1,0,1
543,0,1,11,6,0,0,0,0,1,0,1
544,1,0,32,1,0,0,1,0,1,0,1
545,0,0,50,1,0,1,0,1,0,0,0
546,0,0,64,0,0,1,0,0,1,0,1
547,1,1,19,1,0,0,1,0,1,0,1
548,1,0,34,0,0,0,1,1,0,1,0
549,0,0,33,2,0,0,0,0,1,1,0
550,1,0,8,2,0,0,1,0,1,0,1
551,1,0,17,2,0,1,0,1,0,0,0
552,0,0,27,0,0,0,1,0,1,0,1
553,0,0,28,0,0,0,0,0,0,1,0
554,1,0,22,0,0,0,0,1,0,1,0
555,1,1,22,0,0,0,0,0,1,1,0
556,0,0,62,0,0,1,0,0,1,0,1
557,1,1,48,1,0,1,0,1,0,0,1
558,0,0,41,0,0,1,0,1,0,0,0
559,1,1,39,2,0,1,0,0,1,0,0
560,1,1,36,1,0,0,0,0,1,1,0
561,0,0,28,0,0,0,0,0,0,1,0
562,0,0,40,0,0,0,0,0,1,1,0
563,0,0,28,0,0,0,1,0,1,1,0
564,0,0,28,0,0,0,0,0,1,1,0
565,0,1,28,0,0,0,0,0,1,1,0
566,0,0,24,2,0,0,0,0,1,0,1
567,0,0,19,0,0,0,0,0,1,1,0
568,0,1,29,4,1,0,0,0,1,1,0
569,0,0,28,0,0,0,0,1,0,1,0
570,1,0,32,0,0,0,0,0,1,1,0
571,1,0,62,0,0,0,1,0,1,1,0
572,1,1,53,2,0,1,0,0,1,0,0
573,1,0,36,0,0,1,0,0,1,0,1
574,1,1,28,0,0,0,0,0,0,1,0
575,0,0,16,0,0,0,0,0,1,1,0
576,0,0,19,0,0,0,0,0,1,1,0
577,1,1,34,0,0,0,1,0,1,1,0
578,1,1,39,1,0,1,0,0,1,0,0
579,0,1,23,1,0,0,0,1,0,1,0
580,1,0,32,0,0,0,0,0,1,1,0
581,1,1,25,2,0,0,1,0,1,0,1
582,1,1,39,2,0,1,0,1,0,0,0
