Survived,Sex,Age,Family,isMother,Pclass_1,Pclass_2,Embarked_1,Embarked_2,Fare_Category_1,Fare_Category_2
1,1,48,1,0,1,0,1,0,0,0
0,1,57,0,0,0,1,0,1,1,0
1,1,34,2,0,0,1,0,1,0,1
0,0,29,0,0,0,1,0,1,1,0
0,0,64,1,0,1,0,1,0,0,0
1,1,23,0,0,0,0,0,1,1,0
0,0,35,0,0,0,1,0,0,1,0
1,0,53,0,0,1,0,1,0,0,1
0,0,21,1,0,0,1,0,1,1,0
0,0,32,0,0,0,1,0,1,1,0
1,1,28,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,1,0,1,0
0,0,21,0,0,0,0,0,1,1,0
0,1,9,6,0,0,0,0,1,0,1
1,1,44,0,0,1,0,1,0,0,1
0,0,22,0,0,0,0,0,1,1,0
0,0,40,0,0,1,0,0,1,0,0
1,1,20,1,0,0,1,0,1,0,1
0,1,21,4,0,0,0,0,1,0,1
1,1,13,0,0,0,0,1,0,1,0
1,1,29,0,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,0,1
1,0,28,0,0,0,0,0,1,1,0
0,1,28,0,0,0,0,0,1,1,0
0,0,42,0,0,0,0,0,1,1,0
0,0,24,1,0,0,0,0,1,1,0
0,0,17,4,0,0,0,0,1,0,1
0,0,34,0,0,0,0,1,0,1,0
1,1,35,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,1,0,1,0
0,0,37,2,0,0,0,0,1,1,0
1,0,44,0,0,0,0,0,1,1,0
0,1,15,3,0,0,0,0,1,0,1
0,1,20,1,0,0,0,0,1,1,0
0,0,37,1,0,0,1,0,1,0,1
0,0,23,1,0,0,1,0,1,1,0
0,1,24,1,0,0,0,1,0,1,0
0,0,31,0,0,0,0,0,0,1,0
0,1,15,3,0,0,0,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,23,0,0,0,1,1,0,1,0
1,1,23,1,0,1,0,1,0,0,0
1,1,28,0,0,0,0,0,0,1,0
0,0,46,1,0,1,0,0,1,0,0
0,0,31,0,0,0,0,0,0,1,0
0,0,36,0,0,0,0,0,1,0,0
0,0,51,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,0,1
0,0,36,0,0,0,1,0,1,1,0
1,1,18,0,0,0,0,0,1,1,0
0,0,33,0,0,0,0,1,0,1,0
1,0,32,0,0,1,0,1,0,0,1
0,0,19,5,0,1,0,0,1,0,0
0,0,24,0,0,0,0,1,0,1,0
1,1,40,0,0,1,0,1,0,0,0
1,0,28,0,0,0,0,0,0,1,0
0,0,40,0,0,1,0,1,0,0,1
0,1,22,0,0,0,0,0,1,0,1
1,1,28,0,0,0,0,0,0,1,0
1,1,21,0,0,0,1,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
1,0,25,0,0,0,0,0,1,1,0
1,1,16,0,0,1,0,0,1,0,0
1,0,6,1,0,0,0,0,1,1,0
0,0,25,1,0,0,0,0,1,1,0
1,0,40,0,0,1,0,0,1,0,1
1,0,80,0,0,1,0,0,1,0,1
0,1,19,1,0,0,0,0,1,1,0
0,0,21,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
1,1,32,0,0,0,1,0,0,1,0
0,1,18,0,0,0,0,0,1,1,0
0,0,28,1,0,1,0,1,0,0,0
0,0,22,0,0,1,0,1,0,0,0
0,0,2,5,0,0,0,0,0,0,1
0,0,31,0,0,1,0,0,1,0,0
0,0,59,0,0,0,1,0,1,1,0
0,0,24,1,0,0,0,0,0,1,0
1,1,59,2,0,1,0,0,1,0,0
0,0,54,0,0,0,1,0,1,0,1
0,0,24,0,0,0,0,0,0,1,0
0,0,27,0,0,0,0,0,1,1,0
1,1,12,0,0,0,1,0,1,1,0
0,1,17,0,0,0,0,0,0,1,0
0,0,40,0,0,1,0,1,0,0,1
1,1,14,3,0,1,0,0,1,0,0
1,0,29,0,0,0,0,0,0,1,0
0,0,41,0,0,0,0,0,1,1,0
1,1,33,0,0,1,0,0,1,0,0
0,0,22,0,0,0,0,0,1,1,0
0,1,27,1,0,0,1,0,1,1,0
1,1,24,1,0,0,0,0,1,1,0
0,0,50,1,0,1,0,0,1,0,0
0,0,30,1,0,0,0,0,1,1,0
1,0,27,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
1,1,29,2,1,0,1,0,1,0,1
0,1,2,3,0,1,0,0,1,0,0
1,0,9,2,0,0,0,0,1,1,0
0,0,33,0,0,0,0,0,1,1,0
1,0,21,0,0,0,0,0,1,1,0
0,0,32,0,0,0,1,1,0,1,0
1,0,40,0,0,1,0,0,1,0,1
0,0,2,4,0,0,0,0,1,1,0
1,0,28,0,0,1,0,0,1,0,1
0,0,39,0,0,1,0,0,1,0,0
0,0,64,5,0,1,0,0,1,0,0
0,1,35,0,0,0,0,0,0,1,0
0,0,36,0,0,0,0,0,1,1,0
1,1,35,1,0,1,0,0,1,0,0
1,0,48,1,0,1,0,0,1,0,0
1,1,31,2,0,0,0,0,1,1,0
0,0,28,0,0,1,0,0,1,0,0
1,1,24,5,0,1,0,0,1,0,0
1,1,53,0,0,1,0,1,0,0,1
1,1,33,3,1,0,1,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
0,0,40,0,0,1,0,0,1,0,0
0,1,18,0,0,0,0,0,0,1,0
1,1,6,1,0,0,1,0,1,0,1
1,1,30,1,0,0,1,1,0,1,0
1,1,15,1,0,1,0,0,1,0,0
0,0,30,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,1,30,0,0,0,0,0,0,1,0
0,0,42,0,0,0,0,0,1,1,0
0,0,17,0,0,0,0,0,1,1,0
1,1,38,6,1,0,0,0,1,0,1
0,0,57,2,0,1,0,0,1,0,0
0,0,20,2,0,0,0,1,0,0,1
0,0,28,0,0,0,0,0,1,1,0
1,0,36,3,0,1,0,0,1,0,0
1,1,29,0,0,0,1,0,1,1,0
0,0,44,0,0,0,0,0,1,1,0
1,1,16,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,0,1,0
0,0,26,0,0,0,0,0,1,1,0
0,0,40,0,0,1,0,0,1,0,1
1,0,22,0,0,0,0,1,0,1,0
1,1,50,1,0,0,1,0,1,0,1
0,0,18,0,0,0,1,0,1,1,0
1,1,38,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
0,0,38,1,0,0,1,0,1,1,0
0,0,74,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
1,1,24,0,0,0,1,0,1,1,0
0,1,24,1,0,0,0,1,0,1,0
0,0,70,0,0,0,1,0,1,1,0
0,0,28,0,0,0,0,1,0,1,0
1,0,36,0,0,1,0,0,1,0,1
1,0,45,2,0,1,0,1,0,0,0
0,0,43,0,0,0,0,0,1,1,0
0,0,30,0,0,0,1,0,1,1,0
0,0,25,0,0,0,1,0,1,1,0
0,1,8,4,0,0,0,0,1,1,0
0,1,11,6,0,0,0,0,1,0,1
0,0,22,0,0,0,0,0,1,1,0
0,0,47,0,0,0,0,0,1,1,0
1,1,24,2,1,0,0,0,1,1,0
1,1,28,0,0,0,0,1,0,1,0
0,0,33,0,0,0,0,0,1,1,0
1,0,16,0,0,0,0,0,1,1,0
1,1,28,0,0,0,1,0,1,1,0
1,1,40,0,0,1,0,0,1,0,1
0,0,40,0,0,1,0,0,1,0,1
0,0,28,0,0,0,0,0,1,1,0
1,0,27,0,0,1,0,0,1,0,1
1,1,19,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,1,0,0
1,1,39,2,0,1,0,1,0,0,0
1,0,36,0,0,1,0,0,1,0,1
0,0,22,0,0,0,0,1,0,1,0
1,1,45,1,0,0,0,0,1,1,0
0,0,49,3,0,0,1,0,1,0,0
0,0,32,0,0,0,0,0,1,1,0
0,0,32,0,0,0,1,0,1,1,0
0,0,28,0,0,0,1,0,1,1,0
0,0,23,0,0,1,0,0,1,0,0
0,0,33,0,0,0,0,0,1,1,0
1,0,49,0,0,1,0,0,1,0,0
1,1,53,2,0,1,0,0,1,0,0
1,1,40,0,0,0,1,0,1,1,0
1,0,25,0,0,0,0,1,0,1,0
0,1,39,6,1,0,0,0,1,0,1
0,0,28,0,0,0,0,0,0,1,0
1,1,24,1,0,0,0,0,1,1,0
1,1,51,1,0,1,0,0,1,0,1
1,1,51,1,0,1,0,0,1,0,0
0,0,10,5,0,0,0,0,0,0,1
1,0,40,0,0,1,0,1,0,0,1
0,0,28,0,0,0,0,0,0,1,0
0,0,21,0,0,0,0,0,1,1,0
1,1,4,3,0,0,1,0,1,0,1
0,0,21,1,0,1,0,0,1,0,0
0,1,24,1,0,0,0,0,0,1,0
0,0,40,0,0,1,0,0,1,0,0
1,1,8,2,0,0,1,0,1,0,1
0,1,41,5,1,0,0,0,1,0,1
0,0,22,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,1,7,0,0,0,0,1,0,0
0,0,46,0,0,0,0,1,0,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,32,0,0,0,1,0,0,1,0
1,1,36,0,0,1,0,1,0,0,0
1,1,22,0,0,0,0,0,1,1,0
0,1,32,0,0,0,1,0,1,1,0
0,0,33,0,0,1,0,0,1,1,0
0,0,27,0,0,0,1,0,1,1,0
0,0,19,2,0,0,1,0,1,0,1
0,0,34,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,1,18,0,0,0,0,0,0,1,0
0,0,35,0,0,0,0,0,1,1,0
0,0,19,0,0,0,0,0,1,1,0
1,1,48,3,1,0,1,0,1,0,0
0,0,25,0,0,0,1,0,1,1,0
0,0,41,2,0,0,0,0,1,1,0
1,0,24,0,0,0,0,0,1,1,0
0,0,26,0,0,0,0,0,1,1,0
0,0,27,1,0,0,1,0,1,0,1
0,0,19,0,0,0,0,0,1,1,0
0,0,25,0,0,0,0,0,1,1,0
1,1,35,1,0,1,0,0,1,0,0
1,0,35,0,0,1,0,1,0,0,1
1,1,56,1,0,1,0,1,0,0,0
0,0,38,0,0,1,0,0,1,0,0
1,0,25,1,0,1,0,1,0,0,0
1,1,24,1,0,0,1,0,1,0,1
0,0,26,0,0,0,0,0,1,1,0
1,1,36,3,1,1,0,0,1,0,0
1,0,7,2,0,0,0,1,0,1,0
1,0,4,2,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
0,0,25,0,0,0,0,0,1,1,0
0,1,2,1,0,0,0,0,1,1,0
0,0,28,0,0,0,0,1,0,1,0
1,1,45,0,0,0,1,0,1,1,0
1,0,27,0,0,1,0,1,0,0,0
0,0,24,0,0,1,0,1,0,0,0
0,0,28,0,0,0,0,0,1,1,0
1,1,24,1,0,0,0,0,0,1,0
1,0,26,0,0,0,0,0,1,0,0
0,0,47,0,0,1,0,0,1,0,0
0,0,15,3,0,0,0,0,1,0,1
1,1,28,0,0,0,0,0,0,1,0
0,1,23,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,31,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
0,0,22,0,0,0,0,0,1,1,0
1,1,33,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
0,1,28,2,0,0,0,0,1,1,0
0,0,28,0,0,0,0,1,0,1,0
0,0,50,0,0,0,0,0,1,1,0
1,0,28,0,0,0,0,0,0,1,0
0,0,36,0,0,0,1,0,1,1,0
0,0,50,0,0,0,1,0,1,1,0
1,1,50,1,0,1,0,1,0,0,0
0,0,28,0,0,0,0,0,0,1,0
1,1,35,1,0,1,0,0,1,0,0
0,0,28,0,0,0,0,0,1,1,0
1,1,28,5,0,1,0,0,1,0,0
1,0,19,0,0,0,1,0,1,1,0
0,0,25,0,0,0,0,0,0,1,0
1,0,36,1,0,1,0,1,0,0,0
1,1,19,1,0,1,0,1,0,0,0
0,0,40,0,0,0,0,1,0,1,0
0,0,26,0,0,0,1,0,1,1,0
1,1,48,2,0,1,0,1,0,0,0
0,0,22,0,0,0,0,0,1,1,0
0,0,40,2,0,0,0,0,1,1,0
1,0,20,0,0,0,0,1,0,1,0
0,0,14,5,0,0,0,0,1,0,1
0,0,35,0,0,0,0,0,1,1,0
0,0,39,0,0,0,0,0,1,1,0
0,0,31,2,0,0,1,0,1,0,1
1,1,36,3,1,0,1,0,1,0,1
1,0,1,2,0,0,1,0,1,1,0
1,0,26,0,0,0,0,0,1,1,0
1,1,29,0,0,1,0,0,1,0,0
1,0,35,0,0,1,0,1,0,0,0
1,1,22,0,0,1,0,0,1,0,0
0,0,31,3,0,0,0,0,1,1,0
0,0,30,3,0,1,0,0,1,0,0
1,1,60,5,1,1,0,0,1,0,0
1,0,19,0,0,0,0,0,1,1,0
0,0,30,0,0,1,0,0,1,0,1
0,0,33,0,0,1,0,0,1,0,1
1,0,39,0,0,0,0,0,1,1,0
0,0,2,5,0,0,0,0,1,0,1
1,1,28,0,0,0,0,0,0,1,0
0,0,36,0,0,0,1,0,1,1,0
0,0,16,0,0,0,0,0,1,1,0
0,0,24,0,0,0,0,0,1,1,0
0,0,24,0,0,0,0,0,1,1,0
1,0,25,0,0,0,0,0,1,1,0
0,0,18,0,0,0,1,0,1,1,0
0,1,26,1,0,0,0,0,1,1,0
1,0,3,2,0,0,1,0,1,0,1
0,0,47,0,0,1,0,0,1,0,1
1,1,38,1,0,1,0,1,0,0,0
1,0,25,0,0,0,0,0,1,1,0
0,0,39,0,0,1,0,1,0,0,1
0,0,65,1,0,1,0,1,0,0,0
0,0,28,0,0,0,0,0,0,1,0
0,0,33,2,0,0,0,0,1,1,0
0,1,9,4,0,0,0,0,1,0,1
1,1,28,0,0,0,1,0,1,1,0
1,1,21,4,0,1,0,1,0,0,0
1,1,18,0,0,0,0,0,1,1,0
0,1,30,2,0,0,0,0,1,0,1
0,0,28,0,0,0,0,0,0,1,0
0,0,28,0,0,0,0,0,1,1,0
0,0,30,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,1,1,0
1,0,60,2,0,1,0,1,0,0,0
0,0,23,3,0,0,1,0,1,1,0
0,0,40,0,0,1,0,1,0,0,0
0,0,25,1,0,0,0,0,1,1,0
0,0,27,0,0,0,1,0,1,0,1
0,1,28,0,0,0,0,0,0,1,0
0,0,18,0,0,0,1,0,1,0,0
0,0,4,5,0,0,0,0,0,0,1
0,1,28,0,0,0,0,0,0,1,0
0,1,29,1,0,0,1,0,1,0,1
0,0,30,0,0,0,1,0,1,1,0
0,0,61,0,0,0,1,0,0,1,0
0,0,40,0,0,1,0,0,1,0,1
1,1,18,0,0,0,0,1,0,1,0
0,0,57,1,0,1,0,1,0,0,0
0,0,24,1,0,0,0,0,0,1,0
1,1,39,0,0,1,0,1,0,0,0
1,1,17,0,0,0,1,0,1,1,0
0,0,40,0,0,1,0,0,1,0,1
0,1,28,0,0,0,0,0,0,1,0
0,1,43,7,1,0,0,0,1,0,0
1,1,1,3,0,0,0,1,0,1,0
1,0,56,0,0,1,0,1,0,0,1
0,1,23,0,0,0,0,0,1,1,0
1,1,40,2,0,1,0,1,0,0,0
0,0,40,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
1,1,20,2,1,0,0,1,0,0,1
0,0,50,1,0,0,0,0,1,1,0
0,0,35,0,0,0,0,1,0,1,0
0,0,25,0,0,0,0,0,1,1,0
0,1,17,0,0,0,0,1,0,1,0
0,0,36,0,0,1,0,1,0,0,0
0,0,66,0,0,0,1,0,1,1,0
1,0,20,0,0,0,1,1,0,1,0
0,0,34,1,0,0,1,0,1,1,0
1,1,58,1,0,1,0,1,0,0,0
0,1,10,7,0,0,0,0,1,0,0
0,1,20,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,1,0,1,0
0,0,22,0,0,0,0,0,1,1,0
0,0,28,0,0,0,0,0,0,1,0
0,0,23,0,0,0,0,0,1,1,0
0,0,54,0,0,0,1,0,1,1,0
1,0,40,0,0,1,0,0,1,0,1
0,0,28,0,0,0,0,1,0,1,0
0,0,28,0,0,0,0,1,0,1,0
1,0,1,1,0,0,0,0,1,1,0
0,0,13,6,0,0,0,0,1,0,1
0,0,30,0,0,0,0,0,1,1,0
0,0,14,10,0,0,0,0,1,0,0
0,0,16,2,0,0,0,0,1,1,0
1,1,54,2,0,1,0,0,1,0,0
0,0,52,2,0,1,0,0,1,0,0
0,0,30,0,0,0,1,0,1,1,0
0,0,32,0,0,0,0,0,0,1,0
1,1,28,0,0,0,0,0,0,1,0
0,0,29,0,0,0,0,0,1,1,0
1,1,50,2,0,1,0,1,0,0,0
1,1,48,0,0,1,0,0,1,0,1
1,1,1,3,0,0,1,0,1,0,1
0,0,22,0,0,0,0,1,0,1,0
1,0,24,1,0,1,0,0,1,0,0
